ID,Dev_ID,Treatment,D1,D2,D3,D4,D5,Matricide
1,1,daf,59,48,22,2,0,1
2,3,daf,62,88,26,3,1,0
3,5,daf,93,126,4,0,0,0
4,7,daf,90,99,34,5,0,0
5,9,daf,61,51,16,0,0,1
6,11,daf,94,118,17,1,0,0
7,13,daf,106,140,5,0,0,0
8,15,daf,81,137,8,1,0,0
9,17,daf,91,105,11,0,0,0
10,18,ev,48,49,27,10,0,1
11,21,daf,80,124,33,2,0,0
12,23,daf,82,67,4,0,0,0
13,24,ev,45,64,13,0,0,1
14,26,ev,83,109,20,3,1,0
15,28,ev,103,151,9,0,0,0
16,30,ev,95,125,2,0,0,0
17,32,daf,91,135,16,0,0,0
18,34,daf,64,54,34,8,3,0
19,36,daf,79,128,19,0,0,0
20,38,daf,95,114,9,0,0,0
21,40,daf,45,87,36,2,2,0
22,42,daf,90,111,41,3,1,0
23,45,ev,77,171,4,0,0,0
24,46,daf,77,129,12,0,0,0
25,48,daf,57,83,24,4,0,0
26,51,ev,65,87,0,0,0,0
27,53,ev,92,73,4,0,0,1
28,55,ev,60,61,29,7,0,1
29,56,daf,88,169,32,5,1,0
30,58,daf,74,167,41,1,0,0
31,60,ev,98,108,8,0,0,0
32,62,ev,75,94,0,0,0,0
33,64,daf,45,64,40,19,4,0
34,67,ev,105,98,3,2,0,0
35,68,daf,82,92,13,0,0,0
36,70,daf,75,114,15,0,0,0
37,72,daf,74,75,30,1,0,0
38,74,ev,53,52,23,6,0,0
39,77,daf,76,148,19,0,0,0
40,79,daf,94,119,38,1,0,0
41,81,ev,51,95,33,12,1,0
42,83,ev,102,130,5,0,0,0
43,84,daf,66,143,21,1,0,0
44,86,daf,85,54,18,6,0,1
45,89,ev,87,130,4,0,1,0
46,91,daf,80,92,2,1,0,0
47,93,daf,71,101,2,0,0,0
48,94,ev,102,176,12,0,0,0
49,96,ev,0,0,0,0,0,0
50,98,ev,98,86,14,0,0,0
51,100,ev,69,111,22,0,0,0
52,102,ev,93,109,25,0,0,1
53,104,ev,49,44,27,1,1,0
54,106,ev,92,113,6,0,0,0
55,108,ev,59,59,29,5,0,1
56,110,ev,56,66,20,2,1,1
57,112,ev,NA,NA,NA,NA,NA,NA
58,114,daf,82,130,20,2,0,0
59,116,daf,87,135,30,0,0,0
60,118,ev,62,54,9,2,0,0
61,120,ev,59,101,45,7,6,1
62,122,daf,61,88,34,14,3,0
63,124,daf,68,78,28,5,2,0
64,127,ev,110,161,4,0,0,0
65,129,daf,39,29,10,2,1,0
66,131,daf,40,33,13,8,1,0
67,133,daf,75,135,17,0,0,0
68,134,ev,66,43,11,0,0,1
69,136,ev,54,49,5,0,0,1
70,138,ev,90,129,2,0,0,0
71,140,ev,58,56,20,2,3,1
72,143,daf,81,122,12,0,0,0
73,145,daf,63,75,32,12,8,0
74,147,daf,83,126,29,1,0,0
75,149,daf,90,95,29,10,0,1
76,151,ev,47,45,15,3,2,1
77,153,ev,108,110,13,0,0,0
78,155,daf,79,109,9,2,0,0
79,157,ev,101,101,0,0,0,0
80,159,ev,53,42,7,1,0,0
81,161,daf,92,80,6,2,0,0
82,163,daf,47,43,17,0,0,1
83,165,daf,67,87,2,1,0,0
84,167,daf,91,142,4,0,0,0
85,169,daf,46,62,21,5,0,1
86,171,daf,53,55,12,6,4,0
87,173,daf,66,88,27,0,0,0
88,176,daf,80,147,37,0,0,0
89,178,daf,60,69,17,4,0,1
90,181,ev,67,65,6,0,0,1
91,183,ev,61,45,28,4,0,1
92,185,ev,24,42,0,0,0,1
93,187,ev,89,102,2,0,1,0
94,190,ev,90,105,25,0,0,1
95,191,ev,98,95,0,0,0,0
96,193,ev,115,137,0,0,0,0
97,195,ev,84,104,6,0,0,0
98,196,daf,53,124,44,4,0,0
99,198,daf,70,125,10,0,0,0
100,199,ev,111,108,1,0,0,0
101,201,ev,116,84,9,1,0,0
102,202,daf,76,120,33,0,0,0
103,205,ev,104,97,2,0,0,0
104,207,daf,95,136,35,1,0,0
105,212,ev,90,62,1,0,0,0
106,215,daf,88,123,5,1,0,0
107,216,ev,67,88,25,1,0,1
108,219,ev,76,117,37,1,0,0
109,221,ev,77,129,24,1,0,0
110,223,ev,74,138,5,0,0,0
111,225,ev,76,115,22,0,0,0
112,226,daf,42,144,25,0,1,0
113,228,ev,42,81,0,0,0,0
